HOUR,TOTALLOAD,WIND,SOLAR,PRICE
201,43315.78607,9406.388325,735.0780259999999,23.74
202,42079.19989,7762.866414999999,850.270662,22.08
203,40714.70964,7458.415532999999,905.573714,21.98
204,39439.20601,7288.778007000001,902.598865,20.14
205,38460.97943,7202.039388,871.398285,19.74
206,37721.98155,7429.541531,837.3444089999999,18.73
207,37297.06576,7610.922272,870.321283,18.5
208,37615.12682,7700.51629,587.190059,19.59
209,39207.53165,7946.778457,92.050264,25.14
210,41627.1334,10912.06029,0.018999,22.74
211,41865.24628,13417.319903,0.0,20.39
212,41482.87439,14328.353634,0.0,18.83
213,40102.79006,14861.978534,0.0,17.58
214,37816.83432,14531.684612,0.0,15.49
215,35567.23916,14209.411386,0.0,12.48
216,34211.98736,13870.413583,0.0,11.19
217,33574.51786,13777.33925,0.0,10.76
218,33419.77151,13987.448712,0.0,10.9
219,33535.07198,13930.019484,0.0,10.69
220,34532.84413,13783.100403,0.0,11.75
221,37032.34924,13773.513117,0.0,16.65
222,40975.14445,14449.042553,0.0,27.66
223,42276.18836,14442.069042,0.327797,31.67
224,41570.83532,13900.448616,93.916885,21.09
225,41178.48792,12853.128315,408.064389,21.43
226,40729.09893,13446.141749,624.5411220000001,19.66
227,40071.75973,14627.563281,717.08848,18.8
228,39337.67317,14804.100219,778.198729,18.24
229,38621.11954,14906.028052,783.040364,17.12
230,37897.32278,15325.727845,736.5251659999999,16.18
231,37205.82131,15323.52491,477.355311,15.68
232,36960.46261,14643.030311000002,257.030935,16.2
233,38072.46563,15012.329693,42.997806,32.48
234,40312.1591,15798.091403,0.144754,22.86
235,40060.53818,14343.238602,0.0,19.0
236,39387.74687,14530.676875,0.0,18.21
237,37990.59948,14651.159975,0.0,17.05
238,35579.0041,15010.747552,0.0,13.76
239,33211.48215,15064.149537,0.0,9.85
240,31502.08878,14617.300873,0.0,8.38
241,30506.58022,14180.556306,0.0,8.23
242,30016.55303,13750.829797,0.0,8.37
243,29909.12619,13323.973519,0.0,9.34
244,30679.6389,12533.622489,0.0,10.21
245,33065.84689,11367.53096,0.0,12.77
246,36858.84756,11357.230494,0.0,23.33
247,38275.29802,12424.154195,1.16094,24.66
248,37841.79886,13406.927931000002,43.30783,17.61
249,37652.71652,13593.827569,141.647631,18.18
250,37815.16787,14294.404998000002,228.855434,17.56
251,38016.9158,15300.537861,309.386506,16.31
252,38199.59248,16271.961269,466.39408,17.02
253,38823.33223,16989.350414999997,611.14795,17.55
254,39418.72788,17139.9598,698.830017,17.41
255,40180.76672,17183.834917,704.997141,18.23
256,41542.4525,16627.716846000003,537.096681,19.64
257,43339.30019,14942.595826,129.759118,31.18
258,46054.96026,12811.753234,0.129011,41.18
259,46961.96202,11707.690288,0.0,33.55
260,47472.80342,11588.304272,0.0,27.48
261,47009.87141,11394.086921,0.0,24.69
262,45407.97391,10810.704391,0.0,23.91
263,43902.8347,9583.826305,0.0,23.48
264,43257.88333,8216.856248,0.0,20.24
265,43310.25853,7470.454162,0.0,20.64
266,43803.66039,7477.096372,0.0,21.49
267,44682.46482,7016.095904,0.0,22.24
268,46427.38182,6193.697651999999,0.0,26.15
269,49762.12205,5941.8090520000005,0.0,29.99
270,54466.76216,6296.510190999999,0.0,58.54
271,56195.26013,6631.28997,2.7622310000000003,51.05
272,54892.38649,6076.2343630000005,241.18897,37.75
273,53176.93346,5267.953216,819.153547,32.61
274,51160.72725,4641.1604,952.859496,28.13
275,48873.28288,4360.17148,954.696164,24.08
276,46417.50791,4828.283975,949.038732,22.11
277,44374.21321,4945.30764,960.552322,21.55
278,42437.7449,4068.785476,982.940907,20.69
279,41260.95643,2782.402158,952.779759,20.67
280,41268.07531,2385.102669,720.540419,22.07
281,42932.71536,2781.895664,161.071991,30.48
282,45894.61186,4383.8130550000005,0.19272,34.62
283,46650.60008,6279.163577,0.0,31.62
284,46973.34454,7322.868945,0.0,27.42
285,46726.0614,8029.926942,0.0,27.22
286,45867.43069,7703.015273,0.0,25.3
287,44759.46226,7504.898381,0.0,23.84
288,44063.67387,6481.781773000001,0.0,25.51
289,43854.35457,6389.558201,0.0,25.2
290,44119.42561,6451.567042,0.0,25.18
291,44583.61304,6659.562340999999,0.0,24.47
292,45617.01466,6469.037693,0.0,27.24
293,47187.41353,5986.706830000001,0.0,32.21
294,49302.18483,5646.156949,0.0,42.62
295,51188.33571,5244.459123000001,2.656462,49.87
296,51634.21778,3728.044385,252.802468,56.22
297,50659.54855,2080.301209,837.2073730000001,48.76
298,48705.23627,1143.469719,943.136094,37.16
299,46242.43546,859.896232,960.956716,30.99
300,43677.6364,1090.223519,950.885899,27.96
301,41244.67796,1536.314413,962.08676,24.84
302,39376.66201,2031.971076,979.425692,23.89
303,38236.39026,2509.397571,955.025176,23.04
304,38152.09126,3023.17398,728.289456,24.92
305,40019.98102,3585.57933,170.601031,32.14
306,43333.23145,5184.034737999999,0.180177,42.54
307,44645.78683,7348.948717,0.0,37.74
308,45337.11294,8744.536487,0.0,29.88
309,45538.74548,10901.201319,0.0,29.64
310,44923.69851,12682.793358,0.0,29.36
311,44142.77414,13264.475224,0.0,27.51
312,43480.89386,13523.812379,0.0,22.11
313,43194.03547,13391.522304,0.0,21.55
314,43316.96416,12781.416666,0.0,21.18
315,43671.98981,11648.629511,0.0,22.35
316,44383.042,9948.5727,0.0,24.72
317,45601.40064,8673.747683000001,0.0,27.25
318,47287.03301,7554.526484,0.0,38.22
319,48716.78003,6812.084907,2.74253,41.58
320,48857.88384,5595.327380000001,256.704534,43.62
321,47164.69424,3730.360964,831.012463,34.5
322,44603.21061,4092.1926,936.600245,29.52
323,42014.26988,4281.203099,942.41086,27.64
324,39831.77786,3026.8033589999995,940.882706,24.05
325,37914.16653,2070.359338,933.899918,23.08
326,36468.38763,1599.785385,953.07806,22.27
327,35651.8497,1492.572829,928.606657,22.06
328,35643.03809,1509.402542,649.800452,24.06
329,37332.27277,1326.7663100000002,133.023813,31.01
330,40310.79071,1523.585365,0.462614,36.07
331,41288.18664,2925.91841,0.0,30.99
332,41797.39302,4884.905339999999,0.0,28.59
333,41496.74163,6459.022043000001,0.0,25.84
334,40345.44493,8342.83083,0.0,23.87
335,38985.18064,9919.530432,0.0,21.79
336,38149.66148,11665.355325,0.0,19.68
337,37887.51617,12943.511842,0.0,18.95
338,37934.81676,13481.695079,0.0,18.95
339,38529.93651,13757.217147,0.0,19.4
340,39793.90066,14066.82001,0.0,22.36
341,42134.13292,13934.758651,0.0,25.44
342,45036.1612,13702.435742,0.0,39.25
343,46567.25541,13589.267593,1.4193019999999998,38.62
344,45854.41142,12031.759901,226.234784,32.77
345,44075.00396,10070.079156,721.215221,30.98
346,42243.16347,10087.015707,869.073304,28.49
347,40567.97003,9471.629479,879.3444,26.85
348,38983.6061,9196.712826,862.467187,25.03
349,38083.96958,10448.876104,858.9740320000001,23.59
350,37608.98978,12318.461755,628.722461,22.6
351,37659.21154,12990.648531,451.70958,22.0
352,38700.48286,14059.441016,384.620722,23.01
353,40980.25201,15419.273206,108.470505,24.21
354,43384.91269,16094.339435,0.192731,25.19
355,44178.08579,15949.586049,0.0,25.95
356,44361.7817,15353.805561,0.0,25.0
357,43912.23905,15193.844629,0.0,23.28
358,42842.8979,14897.407273,0.0,21.22
359,41805.45164,14262.565683,0.0,19.48
360,41501.24695,13839.220697,0.0,19.4
361,41948.93405,13336.746829,0.0,20.68
362,42904.87576,12736.733733,0.0,21.45
363,44370.39512,12348.839211,0.0,22.78
364,46704.62125,12654.892801,0.0,26.69
365,50203.00406,12263.027664,0.0,33.72
366,54591.2006,11934.752125,0.0,59.7
367,57599.09822,11286.668731,0.094443,68.68
368,59101.22718,10388.64411,38.776398,55.17
369,60335.55271,9784.018831999998,177.584589,54.93
370,60931.80261,8621.102167000001,256.867404,49.32
371,61128.84699,7375.455339,355.621445,45.12
372,60763.01793,6473.021564,455.708669,45.32
373,59907.47935,5953.849487,518.614714,45.19
374,58805.35778,5294.803868999999,449.320838,43.91
375,58429.65257,4769.621943,370.975467,48.31
376,58984.73358,3885.912376,222.282513,60.11
377,60851.17575,2984.671178,43.47628099999999,133.88
378,63070.9955,2574.68977,0.028137,193.84
379,63383.23003,2524.493592,0.0,124.22
380,62784.94934,2493.850128,0.0,84.36
381,61385.16067,2793.094961,0.0,75.03
382,59097.01769,3284.8240180000003,0.0,55.0
383,57373.48697,3503.540139,0.0,48.22
384,56461.0544,3779.90866,0.0,64.7
385,56263.04519,4200.251004000001,0.0,63.03
386,56489.90951,4757.434511,0.0,64.21
387,57146.67807,5037.186564,0.0,72.69
388,58701.53703,5091.057365,0.0,108.23
389,61281.6611,5230.661782,0.0,290.92
390,64579.61755,5128.386697,0.0,1561.43
391,65750.25545,5120.488609,1.432748,1658.38
392,64628.60762,5020.05813,66.538134,530.02
393,62744.42042,3775.905115,206.263023,103.45
394,60532.7129,3822.484094,314.507151,98.24
395,57953.55004,4085.056443,431.641033,73.69
396,55513.1042,3947.993353,475.864442,64.24
397,53169.5146,3615.832663,500.136335,56.53
398,51137.04603,3378.566491,482.438849,49.58
399,50081.41328,3332.296425,447.171914,48.41
400,50573.6582,3389.955378,275.382563,53.45
401,53417.054,3635.348983,39.935469,68.6
402,57449.35586,4890.922942,0.205705,95.0
403,58587.04593,6940.642916000001,0.0,79.21
404,58725.9632,8391.654654,0.0,67.95
405,57472.16621,9001.070094,0.0,62.53
406,55162.32905,9078.334629,0.0,54.25
407,53263.69314,8737.875789999998,0.0,48.85
408,52194.07974,8355.62404,0.0,41.83
409,51972.69404,7751.218525,0.0,44.1
410,52154.43542,7170.0681540000005,0.0,46.05
411,52669.85484,6864.251143,0.0,48.4
412,53908.12824,6763.514675,0.0,56.24
413,56558.882,6502.862167,0.0,106.06
414,60498.38579,6126.206123,0.0,270.54
415,61356.67966,6113.526021,0.444303,267.51
416,59652.09417,6204.223284,186.65835,145.21
417,57562.3738,4783.403877,672.4743,92.35
418,55610.72646,4516.471197,803.8567730000001,73.21
419,53459.82303,5067.066272,835.539135,52.21
420,51156.18629,5718.730981000001,836.747945,47.01
421,49385.22271,5875.990893,827.072281,41.35
422,48261.20744,5518.542574,828.105255,38.15
423,47986.27848,5234.477219,798.2557300000001,38.33
424,48812.93107,5087.92669,632.718355,40.57
425,50770.74569,5476.715095,179.00295699999998,50.76
426,53089.79492,7795.790441999999,0.832835,68.43
